student_id,student_name,overall_percentage
STU00001,Mr. Gregory Homenick,46.4
STU00002,Marlene Leffler IV,59.4
STU00003,Josephine Ebert,29.0
STU00004,Dr. Irene Green,28.0
STU00005,Jake Huel,57.8
STU00006,Ralph Schuster,53.2
STU00007,Lila Schmidt,42.6
STU00008,Ms. Naomi Rau,49.2
STU00009,Maryann Marquardt,39.6
STU00010,Edna Von,47.2
STU00011,Dr. Deborah Harvey,49.0
STU00012,Mrs. Angie Schowalter,55.0
STU00013,Shirley Zulauf,57.4
STU00014,Miss Madeline Parisian,73.4
STU00015,Armando Pollich PhD,59.6
STU00016,Marvin Lehner MD,43.6
STU00017,Ira Oberbrunner,64.6
STU00018,Eula Ankunding-Feeney,44.6
STU00019,Conrad Greenholt II,24.4
STU00020,Julie Dicki,63.2
STU00021,Mr. Javier Reinger,38.6
STU00022,Edith Gorczany,74.2
STU00023,Amanda Upton,51.4
STU00024,Jonathon Ruecker,42.8
STU00025,Leon Purdy,48.6
STU00026,Monique Zboncak,62.4
STU00027,Crystal Legros,40.8
STU00028,Alicia Farrell,57.6
STU00029,Mr. Dennis Ledner,33.6
STU00030,Tracy D'Amore,51.2
STU00031,Lindsay Goodwin,45.6
STU00032,Adam Shields,61.0
STU00033,Delbert Torp,62.4
STU00034,Tammy Runolfsdottir,49.8
STU00035,Lonnie Schimmel,57.2
STU00036,Rolando Crona,31.6
STU00037,Rachael Lowe,39.6
STU00038,Erica Connelly,53.6
STU00039,John Schultz,55.6
STU00040,Lowell Bartell,79.6
STU00041,Marc Hermiston,49.2
STU00042,Raquel Kuhlman,49.8
STU00043,Rudy Auer,50.4
STU00044,Cora Gutmann,65.2
STU00045,Reginald McCullough,36.6
STU00046,Doyle Thompson,50.4
STU00047,Katrina Ebert-Romaguera Jr.,34.4
STU00048,Harry Predovic,68.0
STU00049,Mr. Neil Wunsch,72.6
STU00050,Tricia Schneider III,47.4
STU00051,Mr. Rudolph Turner,51.6
STU00052,Alan Lebsack,66.0
STU00053,Donnie Gerlach,43.8
